2203,[ 0.82 -1.38 -2.75],inf,
2204,[ 0.82 -1.38 -2.75],inf,
2205,[ 0.82 -1.38 -2.75],inf,
2206,[ 0.356 -1.38  -2.75 ],inf,
2207,[ 0.82  -1.844 -2.75 ],inf,
2208,[ 0.82  -1.38  -3.214],inf,
2209,[ 1.284 -1.38  -2.75 ],inf,
2210,[ 1.14809755 -1.70809755 -2.75      ],inf,
2211,[ 1.14809755 -1.38       -3.07809755],inf,
2212,[ 0.76242302 -0.94581146 -2.75      ],inf,
2213,[ 0.82       -1.05190245 -3.07809755],inf,
2214,[ 0.76759285 -1.43240715 -2.34026938],inf,
2215,[ 0.82 -1.38 -2.75],inf,
2216,[ 0.82 -1.38 -2.75],inf,
2217,[ 0.588 -1.38  -2.75 ],inf,
2218,[ 0.82  -1.612 -2.75 ],inf,
2219,[ 0.82  -1.38  -2.982],inf,
2220,[ 1.052 -1.38  -2.75 ],inf,
2221,[ 0.98404877 -1.54404877 -2.75      ],inf,
2222,[ 0.98404877 -1.38       -2.91404877],inf,
2223,[ 0.79121151 -1.16290573 -2.75      ],inf,
2224,[ 0.82       -1.21595123 -2.91404877],inf,
2225,[ 0.79379642 -1.40620358 -2.54513469],inf,
2226,[ 0.82 -1.38 -2.75],inf,
2227,[ 0.82 -1.38 -2.75],inf,
2228,[ 0.704 -1.38  -2.75 ],inf,
2229,[ 0.82  -1.496 -2.75 ],inf,
2230,[ 0.82  -1.38  -2.866],inf,
2231,[ 0.936 -1.38  -2.75 ],inf,
2232,[ 0.90202439 -1.46202439 -2.75      ],inf,
2233,[ 0.90202439 -1.38       -2.83202439],inf,
2234,[ 0.80560575 -1.27145286 -2.75      ],inf,
2235,[ 0.82       -1.29797561 -2.83202439],inf,
2236,[ 0.80689821 -1.39310179 -2.64756735],inf,
2237,[ 0.82 -1.38 -2.75],inf,
2238,[ 0.82 -1.38 -2.75],inf,
2239,[ 0.762 -1.38  -2.75 ],inf,
2240,[ 0.82  -1.438 -2.75 ],inf,
2241,[ 0.82  -1.38  -2.808],inf,
2242,[ 0.878 -1.38  -2.75 ],inf,
2243,[ 0.86101219 -1.42101219 -2.75      ],inf,
2244,[ 0.86101219 -1.38       -2.79101219],inf,
2245,[ 0.81280288 -1.32572643 -2.75      ],inf,
2246,[ 0.82       -1.33898781 -2.79101219],inf,
2247,[ 0.81344911 -1.38655089 -2.69878367],inf,
2248,[ 0.82 -1.38 -2.75],inf,
2249,[ 0.82 -1.38 -2.75],inf,
2250,[ 0.791 -1.38  -2.75 ],inf,
2251,[ 0.82  -1.409 -2.75 ],inf,
2252,[ 0.82  -1.38  -2.779],inf,
2253,[ 0.849 -1.38  -2.75 ],inf,
2254,[ 0.8405061 -1.4005061 -2.75     ],inf,
2255,[ 0.8405061 -1.38      -2.7705061],inf,
2256,[ 0.81640144 -1.35286322 -2.75      ],inf,
2257,[ 0.82      -1.3594939 -2.7705061],inf,
2258,[ 0.81672455 -1.38327545 -2.72439184],inf,
2259,[ 0.82 -1.38 -2.75],inf,
2260,[ 0.82 -1.38 -2.75],inf,
2261,[ 0.8055 -1.38   -2.75  ],inf,
2262,[ 0.82   -1.3945 -2.75  ],inf,
2263,[ 0.82   -1.38   -2.7645],inf,
2264,[ 0.8345 -1.38   -2.75  ],inf,
2265,[ 0.83025305 -1.39025305 -2.75      ],inf,
2266,[ 0.83025305 -1.38       -2.76025305],inf,
2267,[ 0.81820072 -1.36643161 -2.75      ],inf,
2268,[ 0.82       -1.36974695 -2.76025305],inf,
2269,[ 0.81836228 -1.38163772 -2.73719592],inf,
2270,[ 0.82 -1.38 -2.75],inf,
2271,[ 0.82 -1.38 -2.75],inf,
2272,[ 0.81275 -1.38    -2.75   ],inf,
2273,[ 0.82    -1.38725 -2.75   ],inf,
2274,[ 0.82    -1.38    -2.75725],inf,
2275,[ 0.82725 -1.38    -2.75   ],inf,
2276,[ 0.82512652 -1.38512652 -2.75      ],inf,
2277,[ 0.82512652 -1.38       -2.75512652],inf,
