2452,[ 0.82 -1.38 -2.75],inf,
2453,[-4.68  4.12  7.25],9.14414967904902,
2454,[-4.18 -6.38  2.25],6.272539682539683,
2455,[ 3.32 -2.38 -5.25],inf,
2456,[-0.43 -0.13 -4.  ],inf,
2457,[ 0.195 -0.755 -2.125],inf,
2458,[ 0.5075 -1.6925 -3.0625],inf,
2459,[ 0.66375 -1.53625 -2.59375],inf,
2460,[ 0.898125 -1.301875 -2.671875],inf,
2461,[ 0.8590625 -1.4190625 -2.7890625],inf,
2462,[ 0.80046875 -1.36046875 -2.73046875],inf,
2463,[ 0.81023437 -1.38976562 -2.75976562],inf,
2464,[ 0.81511719 -1.38488281 -2.75488281],inf,
2465,[ 0.82244141 -1.38244141 -2.75244141],inf,
2466,[ 0.8212207 -1.3812207 -2.7512207],inf,
2467,[ 0.81938965 -1.37938965 -2.74938965],inf,
2468,[ 0.81969482 -1.38030518 -2.74969482],inf,
2469,[ 0.82015259 -1.37984741 -2.75015259],inf,
2470,[ 0.82007629 -1.38007629 -2.74992371],inf,
2471,[ 0.81996185 -1.37996185 -2.74996185],inf,
2472,[ 0.82001907 -1.38001907 -2.75001907],inf,
2473,[ 0.82000954 -1.37999046 -2.75000954],inf,
2474,[ 0.82000477 -1.38000477 -2.74999523],inf,
2475,[ 0.81999762 -1.38000238 -2.74999762],inf,
2476,[ 0.82000119 -1.37999881 -2.74999881],inf,
2477,[ 0.8199994 -1.3800006 -2.7499994],inf,
2478,[ 0.8199997 -1.3800003 -2.7500003],inf,
2479,[ 0.81999985 -1.37999985 -2.74999985],inf,
2480,[ 0.81999993 -1.38000007 -2.75000007],inf,
2481,[ 0.81999996 -1.38000004 -2.74999996],inf,
2482,[ 0.81999998 -1.38000002 -2.75000002],inf,
2483,[ 0.82000001 -1.37999999 -2.75000001],inf,
2484,[ 0.82 -1.38 -2.75],inf,
2485,[ 0.82 -1.38 -2.75],inf,
2486,[ 0.82 -1.38 -2.75],inf,
2487,[ 0.82 -1.38 -2.75],inf,
2488,[ 0.82 -1.38 -2.75],inf,
2489,[ 0.82 -1.38 -2.75],inf,
2490,[ 0.82 -1.38 -2.75],inf,
2491,[ 0.82 -1.38 -2.75],inf,
2492,[ 0.82 -1.38 -2.75],inf,
2493,[ 0.82 -1.38 -2.75],inf,
2494,[ 0.82 -1.38 -2.75],inf,
2495,[ 0.82 -1.38 -2.75],inf,
2496,[ 0.82 -1.38 -2.75],inf,
2497,[ 0.82 -1.38 -2.75],inf,
2498,[ 0.82 -1.38 -2.75],inf,
2499,[ 0.82 -1.38 -2.75],inf,
2500,[ 0.82 -1.38 -2.75],inf,
2501,[ 0.82 -1.38 -2.75],inf,
