35582,[-1.2  -0.46 -2.83],inf,
35583,[-1.2  -0.46 -2.83],inf,
35584,[-1.2  -0.46 -2.83],inf,
35585,[-11.2   -0.46  -2.83],inf,
35586,[ -1.2  -10.46  -2.83],inf,
35587,[ -1.2   -0.46 -12.83],inf,
35588,[ 8.8  -0.46 -2.83],inf,
35589,[ 5.87106781 -7.53106781 -2.83      ],inf,
35590,[ 5.87106781 -0.46       -9.90106781],inf,
35591,[-2.4408832   8.89751169 -2.83      ],8.328840813380904,
35592,[-1.2         6.61106781 -9.90106781],6.848197977141096,
35593,[-2.3294645  -1.5894645   6.00040121],5.582832124554641,
35594,[-1.2  -0.46 -2.83],inf,
35595,[-1.2  -0.46 -2.83],inf,
35596,[-1.2  -0.46 -2.83],inf,
35597,[-6.2  -0.46 -2.83],inf,
35598,[-1.2  -5.46 -2.83],inf,
35599,[-1.2  -0.46 -7.83],inf,
35600,[ 3.8  -0.46 -2.83],inf,
35601,[ 2.33553391 -3.99553391 -2.83      ],inf,
35602,[ 2.33553391 -0.46       -6.36553391],inf,
35603,[-1.8204416   4.21875584 -2.83      ],3.5808773604846302,
35604,[-1.2         3.07553391 -6.36553391],1.8159880249675109,
35605,[-1.76473225 -1.02473225  1.58520061],14.191474935156151,
35606,[-1.2  -0.46 -2.83],inf,
35607,[-1.2  -0.46 -2.83],inf,
35608,[-1.2  -0.46 -2.83],inf,
35609,[-3.7  -0.46 -2.83],inf,
35610,[-1.2  -2.96 -2.83],inf,
35611,[-1.2  -0.46 -5.33],inf,
35612,[ 1.3  -0.46 -2.83],inf,
35613,[ 0.56776695 -2.22776695 -2.83      ],inf,
35614,[ 0.56776695 -0.46       -4.59776695],inf,
35615,[-1.5102208   1.87937792 -2.83      ],8.512722557475453,
35616,[-1.2         1.30776695 -4.59776695],16.923905894068525,
35617,[-1.48236613 -0.74236613 -0.6223997 ],inf,
35618,[-1.2  -0.46 -2.83],inf,
35619,[-1.2  -0.46 -2.83],inf,
35620,[-1.2  -0.46 -2.83],inf,
35621,[-2.45 -0.46 -2.83],inf,
35622,[-1.2  -1.71 -2.83],inf,
35623,[-1.2  -0.46 -4.08],inf,
35624,[ 0.05 -0.46 -2.83],inf,
35625,[-0.31611652 -1.34388348 -2.83      ],inf,
35626,[-0.31611652 -0.46       -3.71388348],inf,
35627,[-1.3551104   0.70968896 -2.83      ],41.15586868200778,
35628,[-1.2         0.42388348 -3.71388348],77.25352619285215,
35629,[-1.34118306 -0.60118306 -1.72619985],inf,
35630,[-1.2  -0.46 -2.83],inf,
35631,[-1.2  -0.46 -2.83],inf,
35632,[-1.2  -0.46 -2.83],inf,
35633,[-1.825 -0.46  -2.83 ],inf,
35634,[-1.2   -1.085 -2.83 ],inf,
35635,[-1.2   -0.46  -3.455],inf,
35636,[-0.575 -0.46  -2.83 ],inf,
35637,[-0.75805826 -0.90194174 -2.83      ],inf,
35638,[-0.75805826 -0.46       -3.27194174],inf,
35639,[-1.2775552   0.12484448 -2.83      ],292.50291954022435,
35640,[-1.2        -0.01805826 -3.27194174],inf,
35641,[-1.27059153 -0.53059153 -2.27809992],inf,
35642,[-1.2  -0.46 -2.83],inf,
35643,[-1.2  -0.46 -2.83],inf,
35644,[-1.2  -0.46 -2.83],inf,
35645,[-1.5125 -0.46   -2.83  ],inf,
35646,[-1.2    -0.7725 -2.83  ],inf,
35647,[-1.2    -0.46   -3.1425],inf,
35648,[-0.8875 -0.46   -2.83  ],inf,
35649,[-0.97902913 -0.68097087 -2.83      ],inf,
35650,[-0.97902913 -0.46       -3.05097087],inf,
35651,[-1.2387776  -0.16757776 -2.83      ],inf,
35652,[-1.2        -0.23902913 -3.05097087],inf,
35653,[-1.23529577 -0.49529577 -2.55404996],inf,
35654,[-1.2  -0.46 -2.83],inf,
35655,[-1.2  -0.46 -2.83],inf,
35656,[-1.2  -0.46 -2.83],inf,
35657,[-1.35625 -0.46    -2.83   ],inf,
35658,[-1.2     -0.61625 -2.83   ],inf,
35659,[-1.2     -0.46    -2.98625],inf,
35660,[-1.04375 -0.46    -2.83   ],inf,
35661,[-1.08951457 -0.57048543 -2.83      ],inf,
35662,[-1.08951457 -0.46       -2.94048543],inf,
35663,[-1.2193888  -0.31378888 -2.83      ],inf,
35664,[-1.2        -0.34951457 -2.94048543],inf,
35665,[-1.21764788 -0.47764788 -2.69202498],inf,
35666,[-1.2  -0.46 -2.83],inf,
35667,[-1.2  -0.46 -2.83],inf,
35668,[-1.2  -0.46 -2.83],inf,
35669,[-1.278125 -0.46     -2.83    ],inf,
35670,[-1.2      -0.538125 -2.83    ],inf,
35671,[-1.2      -0.46     -2.908125],inf,
35672,[-1.121875 -0.46     -2.83    ],inf,
35673,[-1.14475728 -0.51524272 -2.83      ],inf,
35674,[-1.14475728 -0.46       -2.88524272],inf,
35675,[-1.2096944  -0.38689444 -2.83      ],inf,
35676,[-1.2        -0.40475728 -2.88524272],inf,
35677,[-1.20882394 -0.46882394 -2.76101249],inf,
35678,[-1.2  -0.46 -2.83],inf,
35679,[-1.2  -0.46 -2.83],inf,
35680,[-1.2  -0.46 -2.83],inf,
35681,[-1.2390625 -0.46      -2.83     ],inf,
35682,[-1.2       -0.4990625 -2.83     ],inf,
35683,[-1.2       -0.46      -2.8690625],inf,
